61	35	58	16	89	21	27	76	44	96	16	20	89	46	28	39	86	62	45	60	34	81
39	89	20	45	55	83	32	69	80	72	6	67	26	16	87	18	53	51	23	9	36	8
33	13	29	2	74	86	50	54	45	81	42	59	13	99	73	21	18	49	14	87	58	7
9	0	56	1	14	53	24	85	52	89	62	42	34	21	6	17	93	77	82	76	6	33
1	59	38	44	10	47	80	72	5	12	26	5	53	21	67	59	16	27	58	62	31	82
76	20	53	78	56	27	48	60	28	74	96	62	14	86	77	25	30	3	38	21	18	20
0	39	41	53	42	92	35	28	10	95	37	29	45	0	46	78	41	20	41	27	93	12
96	98	50	24	97	15	51	96	46	53	76	94	77	47	20	22	57	13	85	59	28	92
31	36	84	78	83	41	48	53	60	28	66	36	23	44	72	82	16	48	18	99	67	97
66	21	18	70	63	21	87	31	21	72	72	49	10	65	12	85	10	86	16	69	81	17
43	96	55	67	62	28	70	46	32	69	45	54	83	52	71	5	66	74	21	21	96	60
31	56	65	11	46	36	5	69	50	66	34	18	84	11	34	76	87	64	33	0	20	71
52	76	75	99	42	57	20	77	11	33	33	36	75	30	33	96	8	92	1	68	53	95
76	97	65	11	65	57	97	39	34	99	28	51	14	63	5	22	34	96	95	42	61	7
33	29	28	83	69	65	89	28	99	23	25	1	84	39	30	32	13	3	53	98	98	87
10	31	59	52	14	16	63	56	52	35	39	91	26	93	93	34	42	12	17	1	44	6
46	14	61	49	98	47	20	7	1	64	7	34	98	34	45	23	69	80	72	23	84	41
33	60	57	13	97	66	4	84	58	31	49	62	85	11	27	3	15	68	92	87	51	84
44	7	31	86	9	46	30	53	38	99	98	88	8	39	53	20	83	99	15	11	93	4
12	30	45	25	79	11	84	22	36	40	1	61	73	29	8	77	10	91	1	92	7	36
3	4	65	77	51	38	89	70	16	28	27	46	17	47	32	23	75	2	2	4	24	37
